,RVP_LAB,S.B5.213TI2804,S.B5.213PI2806,S.B5.213FC2602
2015-12-16,37,132.5210386,318.9230506,90.22461554
2015-12-17,34.6,131.7727848,307.2470364,92.88935256
2015-12-18,38.3,129.9223022,306.193712,88.34169901
2015-12-19,36.3,130.3750571,307.8572844,91.49712311
2015-12-20,40.3,129.9677372,306.9330124,88.07145841
2015-12-21,36.4,130.6767881,307.8932945,94.50632199
2015-12-22,39.1,129.6810283,315.0629816,97.65557472
2015-12-23,36.8,129.8939099,315.5800724,99.05020695
2015-12-24,39.5,130.4754263,315.7124261,92.15890849
2015-12-25,40.2,131.7334371,311.3414046,92.35226566
2015-12-26,38.8,132.1395175,314.031383,100.2847008
2015-12-27,39.2,131.8230922,320.7830487,97.94076315
2015-12-28,36.1,131.538447,306.9860289,94.68605013
2015-12-29,37.5,132.5691549,313.3187124,88.95963181
